Regulator	Target	MI	pvalue
Zdbf2	Gm26522	2.126996494738424	4.737510383989729E-7
Ahr	Zmynd15	1.6768484072237544	1.6986412276764895E-10
Spi1	Efr3b	1.6619761863419786	4.737510383989729E-7
App	Sept11	0.9338653565965883	0.03263817847320993
Zmynd15	Dchs2	1.7147868162667994	0.03263817847320993
Klf5	Itgb8	1.4629762708340555	1.6986412276764895E-10
Nr1i3	Art1	2.3013006609242774	2.1949162487544527E-5
Vav1	Clec4a3	2.2053170313125943	1.6986412276764895E-10
Sox11	Hpn	1.8798608263649519	0.03263817847320993
Mafb	Gm13986	1.3420416981727292	9.044750415299063E-4
Gli1	Kmo	2.054697665298979	9.044750415299063E-4
Irx3	Rhoh	1.9368812670715454	9.229284003708926E-9
Egr3	Nlrc5	1.2907220592801252	9.229284003708926E-9
Cux2	E330020D12Rik	1.5278098898467343	9.229284003708926E-9
Nkx2-2	Spag6l	2.3103620912606724	2.1949162487544527E-5
Rarg	Gm27201	1.678538068779012	9.229284003708926E-9
Zfp385b	B230334C09Rik	1.4115473109329515	0.03263817847320993
Hnf4a	Igfn1	2.3623948975111126	9.044750415299063E-4
Wt1	Ephx2	1.3461842649464646	9.044750415299063E-4
Slc26a3	Scarf1	1.2798253930621588	9.229284003708926E-9
Zfp804a	Ifi206	1.3891280523657759	2.1949162487544527E-5
Ahr	Arhgap29	1.4971770588768374	9.229284003708926E-9
Gli2	Il6ra	1.334350953636216	9.044750415299063E-4
Top2a	Cdca2	2.269176079033895	1.6986412276764895E-10
Meox2	Pmepa1	1.1416628777239246	4.737510383989729E-7
Scand1	Tuba1a	2.2093693336977287	0.03263817847320993
E2f7	Dlgap5	1.7117399521024486	0.03263817847320993
